"Aspartate";"Leucine";"H2SO4";"Pentonate.4";"U1408.4.298";"U2076.9.204"
0.147360459;0.020215789;0.488063284;0.000401613;0.008675715;0.187280266
0.149486978;0.021966345;0.507636454;0.000525316;0.009792704;0.064790666
0.140378787;0.027256833;0.515359047;0.000864209;0.008787668;0.227753712
0.28173995;0.039801942;0.671908982;0.00200519;0.031473601;0.083371926
0.308790207;0.042633532;0.608499047;0.001097856;0.024382691;0.075186881
0.327858245;0.042363551;0.733474874;0.001656908;0.036460067;0.067420516
0.414793385;0.063159459;0.716911534;0.001357828;0.06304981;0.335768616
0.316539931;0.037039133;0.622969129;0.001252422;0.063246562;0.184400614
0.389349709;0.045635574;0.739535415;0.001218297;0.065640747;0.203148861
