"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"p_AT5G16840.1";0.5;0.07;0.2;-0.26;0.14
"p_AT5G16970.1";-0.79;0.23;-0.03;-0.11;0.12
"p_AT5G17310.2";0.79;0.5;-0.22;-0.07;0.11
"p_AT5G17380.1";-0.75;-0.34;-0.1;-0.16;0.07
"p_AT5G18900.1";0.81;0.09;0.06;0.37;-0.3
"p_AT5G19440.1";0.21;0.59;-0.45;0.16;-0.12
"p_AT5G20010.1";0.26;0.62;-0.35;0.23;-0.41
"p_AT5G20290.1";-0.51;0.04;0.14;0.13;-0.01
"p_AT5G20720.1";-0.71;0.45;-0.27;-0.24;-0.19
"p_AT5G20950.1";-0.43;-0.51;-0.29;0.3;0.04
"p_AT5G20960.1";-0.89;-0.05;0.19;0.23;0.19
"p_AT5G21990.1";0.19;0.02;0.74;0.19;0.28
"p_AT5G22470.1";-0.23;-0.39;-0.19;-0.01;-0.25
"p_AT5G22810.1";-0.57;-0.49;0.08;-0.13;0.32
"p_AT5G26000.1";0.01;-0.66;-0.08;0.23;-0.06
"p_AT5G26120.1";0.15;-0.87;0.24;-0.08;-0.18
"p_AT5G26360.1";0.51;0.21;-0.34;0.07;-0.11
"p_AT5G27540.1";-0.6;0.23;0.01;0.48;0.26
"p_AT5G27640.1";-0.67;-0.38;-0.26;0.11;-0.05
"p_AT5G28840.1";0.7;0.52;-0.31;0.08;0.16
"p_AT5G34940.2";-0.12;-0.87;0.03;-0.02;-0.15
"p_AT5G35360.1";0.77;0.16;0.04;-0.49;0.02
"p_AT5G36210.1";-0.68;-0.24;-0.13;0.13;-0.32
"p_AT5G36880.1";-0.24;0.54;-0.13;-0.1;-0.45
"p_AT5G37510.1";-0.49;-0.34;-0.01;0.03;-0.22
"p_AT5G38170.1";0.75;0.18;0.45;0.16;-0.24
"p_AT5G39410.1";-0.45;0.53;0.38;0.49;0.07
"p_AT5G39570.1";-0.58;-0.19;0.31;0.61;0.18
"p_AT5G39720.1";0.95;-0.17;0.05;0.05;-0.2
"p_AT5G40420.1";0.69;-0.32;-0.03;0.17;0.18
"p_AT5G40770.1";0.6;0.16;-0.49;0.28;0.24
"p_AT5G42270.1";0.59;0.36;0.29;-0.27;0.3
"p_AT5G42740.1";-0.3;0.6;0.06;-0.3;-0.02
"p_AT5G42790.1";0.36;0.27;-0.42;0.12;0.16
"p_AT5G43600.1";0.09;-0.55;0.28;-0.17;-0.4
"p_AT5G43940.1";-0.7;0.47;0.15;-0.08;-0.17
"p_AT5G44120.1";0.44;0.2;0.19;-0.29;-0.1
"p_AT5G44120.2";-0.1;-0.05;0.44;0.27;-0.32
"p_AT5G44310.1";0.69;0.38;0.18;0.43;-0.18
"p_AT5G45690.1";0.86;0;0.27;0.22;-0.05
"p_AT5G46070.1";0.64;-0.42;0.08;0.42;-0.14
"p_AT5G46290.1";0.85;-0.03;0.26;-0.24;0.14
"p_AT5G47210.1";-0.8;-0.02;0.03;0.34;0.18
"p_AT5G48100.1";0.34;-0.21;0.23;0.22;0.48
"p_AT5G48180.1";0.48;-0.46;0.54;-0.1;0.3
"p_AT5G48300.1";0.66;-0.21;0.46;0.21;0.11
"p_AT5G49190.1";0.71;-0.04;0.33;0.24;0.38
"p_AT5G49460.1";-0.02;-0.72;-0.09;-0.48;0.21
"p_AT5G49650.1";-0.42;0.35;0.18;-0.54;-0.09
"p_AT5G50600.1";-0.16;0.65;-0.45;-0.09;0.33
"p_AT5G50850.1";-0.1;-0.1;-0.57;0.11;0.48
"p_AT5G50920.1";0.94;0.11;0.04;-0.04;0
"p_AT5G51970.1";-0.45;0.76;-0.07;-0.06;0.12
"p_AT5G52300.1";-0.55;0.04;0.26;-0.29;0.15
"p_AT5G52420.1";0.7;-0.14;-0.34;-0.12;0.32
"p_AT5G52640.1";0.18;0.78;-0.15;0;0.1
"p_AT5G54740.1";-0.01;0.58;0.36;0.27;0.24
"p_AT5G54770.1";0.06;0.37;0.14;-0.01;-0.04
"p_AT5G55240.1";0.79;0.31;-0.27;0.1;0.05
"p_AT5G55410.1";0.52;-0.52;0.16;0.58;0.07
"p_AT5G55730.1";-0.01;-0.68;-0.28;-0.45;-0.33
"p_AT5G57110.1";-0.15;-0.69;0.08;0.11;0.3
"p_AT5G57550.1";0.66;-0.58;0.23;-0.34;0.16
"p_AT5G57655.2";0.88;0.22;-0.08;0.22;-0.13
"p_AT5G58070.1";0.19;-0.92;0.08;-0.08;0.15
"p_AT5G59420.1";-0.8;-0.26;0.25;0.22;0.16
"p_AT5G60220.1";0.75;-0.18;0.44;0.21;-0.13
"p_AT5G60640.1";-0.79;-0.1;0.11;-0.02;0.1
"p_AT5G61410.1";0.77;0.46;-0.11;-0.33;-0.07
"p_AT5G61780.1";0.17;0.08;0.06;0.21;-0.15
"p_AT5G61790.1";0.46;0.12;0.09;0;-0.26
"p_AT5G62200.1";-0.44;-0.35;-0.46;-0.09;0.31
"p_AT5G63030.1";0.21;-0.52;0.09;0.3;-0.27
"p_AT5G63620.1";-0.58;0.52;0.21;-0.01;-0.11
"p_AT5G63800.1";-0.03;-0.83;0.16;-0.12;-0.06
"p_AT5G64260.1";0.42;-0.12;0.02;-0.28;-0.01
"p_AT5G64350.1";-0.56;-0.46;-0.5;0.13;-0.07
"p_AT5G65165.1";-0.06;-0.22;0.43;0.44;0.1
"p_AT5G65750.1";-0.58;-0.34;-0.21;-0.2;-0.09
"p_AT5G66190.1";-0.06;0.85;0.08;-0.4;-0.05
"p_AT5G66420.1";-0.61;0.35;0.1;-0.09;-0.41
"p_AT5G66590.1";-0.12;-0.54;0.37;0.58;0
"p_AT5G66760.1";-0.38;-0.14;-0.5;0.06;0.16
"p_AT5G66780.1";-0.73;0.38;-0.13;0.19;0.05
"p_AT5G67360.1";-0.41;-0.27;-0.72;0.2;0.2
"p_AT5G67500.1";0.02;0.4;-0.23;0.01;0.29
"p_ATCG00120.1";0.54;0.58;0.16;-0.5;0.07
"p_ATCG00480.1";0.5;0.59;0.05;-0.39;0.15
"p_ATCG00490.1";0.67;-0.13;0.29;-0.43;0.21
